Manufacturer Name,Abbreviation
"Mickey Truck Bodies, Inc.",
"FLEETWOOD ENTERPRISES, INC.",FLTW
Spektrum Brakes LLC,
Cake 0 Emission USA Inc,
IC CORPORATION,NAV
Carefree Of Colorado,BRK.A
AMER. SAFETY EQUIP. CORP.,
Haldex Commercial Vehicle Systems,HLDXF
Van Hool N.V.,
Hubbell Incorporated (Delaware),HUBB
"Ferrara Fire Apparatus, Inc.",REVG
PILOTCAR EV INC.,
DECKED,
"Dorman Products, Inc.",DORM
Ricon Corporation,WAB
FMC CORPORATION,FMC
"Xos, Inc.",XOS
"BCS Automotive Interface Solutions US, L",
Lonestar Specialty Vehicles,
Pratt Intermodal Chassis,
WHITE MOTOR CORPORATION,
"Kibbi, LLC",
Sentury Tire Thailand,
"Custom Fire Apparatus, Inc.",
Hollywood Racks,
"Toyo Tire Holdings of Americas, Inc.",TOTTF
"Chinook Motor Coach, LLC",
Toyota Motor Corporation,TM
Trans-Air Manufacturing Corp.,LCII
"Midwest Automotive Designs, LLC",REVG
"Proterra Operating Company, Inc.",PTRAQ
AM GENERAL LLC,
CROWN COACH CORPORATION,
Arcimoto Inc,FUVV
"Allison Transmission, Inc.",ALSN
AMETEK ICVS,AME
"Platinum Driveline, Inc.",
"Transfer Flow Inc - Chico, CA",
Lightning eMotors Inc.,ZEV
Precision Circuits Inc.,
MANCHESTER TANK & EQUIPMENT CO,
Dexter Axle Company,
Hyundam Industrial,
Midwest Fire Equipment & Repair Company,
"Covercraft Industries, LLC",
"Interstate Group, LLC",
Fruehauf Inc.,
Streamline Industries Incorporated,
Yokohama Tire Corporation,YORUY
"Bentley Motors, Inc.",VWAGY
"Parker Trailer Sales, Inc.",
Outfitter Manufacturing,
DUNLOP TIRE CORPORATION,GT
Explorer Van Company,
Nelson Trailers,
BELL MFG. CORPORATION,HUBB
Lakota Corporation (Lakota Trailers),
FRUEHAUF CORPORATION,
"Provan Industries, LLC",
"SmartPlug Systems, LLC",
Farber Specialty Vehicles,REVG
Midway Specialty Vehicles,REVG
"Temp-Air, a division of Sunbelt Rentals",AHT
Summit Bodyworks,
Sewn Products DBA TigerTough,
RevHD,
"SPORTSMOBILE TEXAS, INC",
Quality Vans & Specialty Vehicles,
Adaptive Mobility Systems Inc,
"Pleasure Way Industries, Ltd.",
Industrial Video & Control Co,
Seats Incorporated,
"Yamaha Motor Corporation, USA",YAMHF
Boreas Campers,
"Advance Stores Company, Incorporated",AAP
Ironman 4x4 USA II LLC,
Polaris Industries Inc.,PII
"Stoughton Trailers, LLC",
Mobility Ventures LLC,
Maxzone Auto Parts Corporation,
SAF-Holland,SFQ
"Eagle Eyes Traffic Ind. Co., Ltd",
Lordstown EV Corp,NRDE
"East Penn Manufacturing Company, Inc.",
Land Rover,TTM
Imagine Fiberglass Products Inc.,
INTERNATIONAL TRUCK & ENGINE CORPORATION,TRATON
"Iowa Mold Tooling Co., Inc.",OSK
Knapheide Manufacturing Company,
Fontaine Trailer Company,
"Veoneer Brake Systems, LLC",VNE
Dennis Eagle Inc.,
"Fox Factory, Inc.",FOXF
"Outback customs,LLC",
"Baby Trend, Inc.",
Crysteel Manufacturing Inc,
Shred-Tech Corporation,
Les Technologies Ecotuned inc.,
3M Transportation Safety Division,MMM
"Field Van, Inc",
Buell Motorcycles Co.,
Four Degree Trailer Company,
"Shadow Trailer, LLC",
"Regency Conversions, Inc.",
9299-5000 Quebec Inc.,
"Capri Campers, LLC",
"Gilbarco, Inc.",VNT
OPEN ROAD IND.,
Off Grid Trailers,
Par Nado inc,
SAGEM INC.,SAFRY
Electra Meccanica Vehicles Corp,SOLO
UD Trucks Corporation,
REDMAN WESTERN CORP.,
"Maintainer Corporation of Iowa, Inc.",
TOKAI RIKA Co LTD,
"Nexus RVs, LLC",
ABS Remorques,
"Gratimax, LLC",
"Comoto Holdings, Inc.",CRTO
"Adventurer Manufacturing, LLC",
JD E-Commerce America Limited,JD
"WARN Industries, Inc.",
Ridewell Corporation,
Williamsen-Godwin Truck Body Company LLC,
Easymile Inc.,
"LDV, Inc.",
"Old School Trailers, LLC",
